"ISO3","Name","Value","sign"
"RUS","Russian Federation",-0.0101973701290371,-1
"RWA","Rwanda",0.00448598362282286,1
"KNA","Saint Kitts and Nevis",0.00226677899302554,1
"LCA","Saint Lucia",6.75531627237276e-05,0
"VCT","Saint Vincent and the Grenadines",0.0058863081386447,1
"WSM","Samoa",-0.000772581727681433,0
"SMR","San Marino",0.0038410403359774,1
"STP","Sao Tome and Principe",0.00274932523410854,1
"SAU","Saudi Arabia",0.0150431099343012,1
"SEN","Senegal",0.00198650472330898,1
"SRB","Serbia",0.000338052158818301,0
"SYC","Seychelles",0.0028542568963064,1
"SLE","Sierra Leone",-0.00181109783324217,-1
"SGP","Singapore",0.00153889299506105,1
"SVK","Slovakia",-0.00117990516758398,0
"SVN","Slovenia",-0.00229239688413154,0
"SLB","Solomon Islands",-0.00267577324587902,0
"SOM","Somalia",0.000931601494460636,0
"ZAF","South Africa",-0.000291530388583872,0
"ESP","Spain",-0.00192340915319366,-1
"LKA","Sri Lanka",-0.001506128334071,0
"SDN","Sudan",-0.00477662463009327,-1
"SUR","Suriname",0.000949275277003869,0
"SWZ","Swaziland",-0.00338235653893781,-1
"SWE","Sweden",-0.00243849176093492,-1
"CHE","Switzerland",-0.00153381772580444,-1
"SYR","Syrian Arab Republic",-0.000878217320410361,0
"TJK","Tajikistan",0.00148212758741698,0
"TZA","Tanzania, United Republic of",0.00303567664304522,1
"THA","Thailand",0.00638365959224083,1
"TLS","Timor-Leste",-0.00128500296443972,0
"TGO","Togo",0.010009973051871,1
"TON","Tonga",0.0069737565205214,1
"TTO","Trinidad and Tobago",0.000166041520424544,0
"TUN","Tunisia",0.00161581244383613,0
"TUR","Turkey",0.00512053730500185,1
"TKM","Turkmenistan",0.000268690610510168,0
"TUV","Tuvalu",0.0124069317865824,1
"UGA","Uganda",-0.001508700434736,0
"UKR","Ukraine",-0.00114262788953341,0
"ARE","United Arab Emirates",0.0022972975233845,1
"GBR","United Kingdom",-0.00136221508041372,0
"USA","United States",-0.00290688699751354,0
"URY","Uruguay",0.00450710851107448,1
"UZB","Uzbekistan",0.011470074519637,1
"VUT","Vanuatu",0.00160139177363865,0
"VEN","Venezuela, Bolivarian Republic o",0.000593318969359248,0
"VNM","Viet Nam",0.00499997843622181,1
"YEM","Yemen",-0.00046349157510485,0
"ZMB","Zambia",0.00133741883716991,0
"ZWE","Zimbabwe",0.00198013957562666,1
