"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"AFG","Afghanistan",-0.0269206722303512,-0.026921695622164,-0.0252241050032773,-0.0235265143843902,-0.0250456521111883,-0.026564351241495,-0.0200926732175479,-0.0146587775266778,-0.0111999505593676,-0.0155427509317382,-0.0687635989144497,-0.103135262343262,-0.110029201241371,-0.116366429026439,-0.117245939825384,-0.119043372465297,-0.128563415749702,-0.11430244175036,-0.113293077634448,-0.0973104402275314,-0.0986093054424992,-0.0871368360924747,-0.0972197896116304,-0.102885112921034,-0.0958389884270728,-0.107399010677007,-0.0962407437193795,-0.0927059237420918,-0.0912620860250555
"ALB","Albania",-0.0116256955676824,-0.0124617488510282,-0.0148371604812396,-0.0201006790184498,-0.0208763112618981,-0.0216455291496676,-0.0174428737539367,-0.0126987203648807,-0.0162953870407949,-0.0104205704028797,-0.0237782142208398,-0.0394785028784306,-0.0299213774982484,-0.0208633640529917,-0.00296164758886686,-0.0060058331646104,-0.00918752808367662,-0.00416544814810593,0.00797996914701143,0.0287173793467363,0.032269415423973,0.0249062121246059,0.0231055674007877,0.0215969998994164,0.00994842451854849,0.0117776404542966,0.00968947743062304,0.00125798752868067,-0.00205192989000264
"DZA","Algeria",-0.0662219404267653,-0.0664902323018367,-0.0703340720230174,-0.0751531406006702,-0.072447792505209,-0.0701787452731916,-0.0657609476281958,-0.0618082131548605,-0.059601543880457,-0.053557930861015,-0.0562550245030614,-0.0918332821889588,-0.0940332318967348,-0.0927507782575168,-0.10003851873265,-0.113498170243585,-0.122177001364993,-0.121018213894304,-0.107899133774897,-0.111977032166222,-0.103491849726057,-0.0923715246470885,-0.0701181743042824,-0.0699871319626508,-0.0705102165311539,-0.0622187432767788,-0.0659375485687302,-0.0643218376584212,-0.0599566595559959
"AND","Andorra",-0.316702406110387,-0.321308885892281,-0.32892803576073,-0.32625107008977,-0.328198412942762,-0.33183087047351,-0.343253363947454,-0.349941036200301,-0.348290607085394,-0.340492170154266,-0.333075149569705,-0.323826148787674,-0.300372205608052,-0.28462649000879,-0.263147744674002,-0.261071030354131,-0.266812480943583,-0.257845744310947,-0.250811281152669,-0.260879183974913,-0.263080335326527,-0.266128281691826,-0.262472287399981,-0.270811619338614,-0.240337587828897,-0.209333960916508,-0.2380253398578,-0.236933132566836,-0.189805613405764
"AGO","Angola",-0.154290266931495,-0.155659534412336,-0.157723150071554,-0.159405981360764,-0.158726750393616,-0.158234613633098,-0.150739433956592,-0.144494995915322,-0.132016930042184,-0.134045424531353,-0.145276749307201,-0.169691547457571,-0.169748113091774,-0.165431458076206,-0.157134335357763,-0.171836981433709,-0.174238859057257,-0.164399443526912,-0.156560701145938,-0.151316252998166,-0.152173214300731,-0.122848853273405,-0.120762290686533,-0.110657712364784,-0.108013939139104,-0.100255242761238,-0.0974391315918908,-0.0955104179012248,-0.0952287931139831
"ATG","Antigua and Barbuda",0.0593545304549897,0.0557645468623836,0.0530529673845034,0.0510150440684369,0.0497148442170721,0.0465791433461774,0.0506211651501586,0.0527477861141097,0.0504511042734423,0.0451136383347177,0.0506790803661833,0.0147092967011496,0.00538174563927124,0.0122330835399669,0.0311445074399616,0.0504592068600573,0.0453372401513594,0.058820888539256,0.0552297205951176,0.0300405053465766,0.0397220626777099,0.0308389297589475,0.01027235598294,0.00760647848234342,-0.00121560832545714,0.0156135372319301,-0.00227341755444588,-0.018194145835587,-0.0230693291246934
"ARG","Argentina",0.00429148966186593,0.00467129841680092,-0.00491425499196052,-0.0110384587571429,-0.00915575610050934,-0.00785794588324334,-0.0329511497304599,-0.0466185673378676,-0.0411395121583347,-0.0428483009886547,-0.0261239597297872,-0.0561814102701119,-0.051635051425234,-0.0620930225152601,-0.0611867160930774,-0.0600025919386392,-0.0622672736089213,-0.0695071336318234,-0.0825546060906114,-0.0885920747966269,-0.0873811863088971,-0.0520684596038574,-0.0625167088542926,-0.0640324607387958,-0.0627177283256047,-0.0527962498240912,-0.0752420824352634,-0.0919356126988972,-0.0876820073245835
"ARM","Armenia",0.0364464003651056,0.0318556328918009,0.023007553581171,0.0301069727060919,0.035783436194014,0.0372075955380213,0.0441074787629482,0.059754133665595,0.0698485141729012,0.0549046009567742,0.0742877279568795,0.0528789132026393,0.0559687041253996,0.070834447820676,0.0644907337927974,0.0643741979797965,0.0622352389205677,0.0666727102980579,0.0802886574625348,0.0928983928001562,0.100563218211032,0.107347542109613,0.099131858535043,0.106954913887299,0.10946270066357,0.104657277796603,0.0987914784017651,0.0825105786897737,0.0757282379010137
"AUS","Australia",0.159139174189684,0.157582116047339,0.155145609836015,0.153733998590945,0.155907580723255,0.159440423418254,0.160198421982728,0.156943167175864,0.157028544987026,0.159004198039573,0.158330057219528,0.194245098197611,0.193492421514585,0.197579035797177,0.177208154778282,0.188144249058551,0.180358329731834,0.180139370548052,0.177428543569602,0.174430408835293,0.173485643561845,0.168130747843353,0.149433033750688,0.146317564294227,0.133285315474174,0.114802905793979,0.110081264489346,0.0761326097971624,0.0563605976487015
"AUT","Austria",0.16798637662696,0.170775891618205,0.168468673215896,0.163972723708434,0.163787274431373,0.160130078560292,0.167044739561751,0.167559232816791,0.160527894660926,0.159752353174145,0.16356812237533,0.182125665682467,0.185825705687536,0.174898342779262,0.159905757227792,0.162035000902229,0.15195023949525,0.148510841102495,0.157404437679891,0.167155454948905,0.157859679226338,0.128762756086016,0.125582762881919,0.113672035669597,0.0928779541176312,0.0963319787636807,0.0753119160322595,0.0371269839276203,0.0393283066092261
"AZE","Azerbaijan",-0.02719511706804,-0.029766613974143,-0.0251911009606567,-0.0210346453789904,-0.0202370077976872,-0.0204006174430975,-0.0197776705305418,0.0155946943092141,0.0198817887874985,0.0214880047542472,0.0212810389407332,-0.0361234476187134,-0.0432296415859029,-0.0511078202844195,-0.0192817395544577,-0.0322586429966519,-0.0301150107340585,-0.0407223101333206,-0.0251810130359484,-0.000699876680162248,0.0179088408684985,0.0409027082255204,0.0309478339697645,0.0285280086307669,0.0426594728293422,0.0344200904368674,0.0270804165123906,0.0121899587199303,0.00891446431287618
"BHS","Bahamas",0.0218006778671084,0.0182681897282419,0.0198899717231322,0.0190928804911871,0.0156198768044833,0.0148276789802699,0.0141739085729807,0.0160498353452051,0.0136956630511544,0.0141707287589794,0.0278375862354086,0.0846894649174564,0.0853798518870984,-0.00845861194795577,-0.011671853769927,-0.0154981329882984,-0.016772882129246,-0.0145300949061172,-0.0194437840417273,-0.0194825539618731,-0.0268270890539643,-0.0348213378769057,-0.0496141586263968,-0.0563925040561529,-0.0589537443298239,-0.0236146646332742,-0.0341946052760714,-0.0570226293248778,-0.0588655348198094
"BHR","Bahrain",-0.119566037008845,-0.124829059142116,-0.124203274851947,-0.125129770888925,-0.126896380608155,-0.130445383434905,-0.117563446429463,-0.0996643688165029,-0.105770850724868,-0.109660233415989,-0.103294051285371,-0.0493496740135245,-0.0413167185247226,-0.100446805205959,-0.0867920758651188,-0.0921976141454665,-0.100408076386463,-0.113902903967819,-0.111441823497684,-0.0842389192778009,-0.0603861767094213,-0.0684355383850324,-0.0875883178883372,-0.0937943074463672,-0.107455736635968,-0.0646562159549485,-0.0512652882402171,-0.0703982719737929,-0.0800689069204009
"BGD","Bangladesh",-0.000199521324559804,-0.000589128480732393,0.00141368480967435,0.00328668766168133,-0.00321131484685683,-0.00980865349060822,-0.0149853662391454,-0.0206885571356953,-0.0262485494631947,-0.0330334649310087,-0.0121330086570828,0.0643425483385834,0.0766089689141102,0.0818984612570332,0.0828564440378051,0.109210841688673,0.111203471528724,0.111075580788662,0.111129045193543,-0.0960374323299695,-0.10002185122809,-0.0856058075521726,-0.0860210675231841,-0.0849307785654906,-0.0870217118833425,-0.0840420244989756,-0.0876724573713744,-0.094362049382733,-0.0932239817100976
"BRB","Barbados",0.0859115140940008,0.0835265859626843,0.0826176816104868,0.0823409867487384,0.0832899953354132,0.085605611471754,0.0876559433067958,0.0940198491264279,0.0978436928741522,0.100758022605477,0.120124709967895,0.178126173142874,0.187944944144502,0.185942428035736,0.188891450472466,0.211910037179503,0.220680343778097,0.096551562911889,0.100084792639104,0.0960217924091117,0.110174713838057,0.0938717708713188,0.102684578786017,0.100844655549049,0.10439754817766,0.128786310471551,0.184365422455036,0.16844215826944,0.16502108183457
"BLR","Belarus",0.020152245454795,0.0253757810613047,0.0234171331260212,0.0276782184917579,0.0271636361831626,0.0237724127512046,0.0208078167717973,0.0165264215796647,0.0369662329646692,0.0276688933744373,0.0205407420160267,-0.0331257866539705,-0.0180315781463991,-0.00321308797397885,0.0385550493829648,0.0322179770732738,0.0381680058757585,0.060514268063609,0.0607230805023791,0.0539027532020857,0.0565778686913033,0.0741029365095508,0.094202288799244,0.0897504840379525,0.0828959800151972,0.0453633930754695,0.0276578698070739,0.00762096793841477,-0.00615445309789503
"BEL","Belgium",0.111885796628648,0.115058617354881,0.108099531078865,0.0959677396037226,0.0927352705554425,0.0907035795482626,0.0904328326904069,0.091948325663915,0.0815751051815287,0.0778784841992886,0.0670255812636724,0.0830738347266067,0.082678455463117,0.0873119454963027,0.0942226331590822,0.0786353155646957,0.0735299526410984,0.0752123581710323,0.0756920639026593,0.0825361308750597,0.0780804851983774,0.0589273519068426,0.0447487629142029,0.0277539546747385,0.00916240001486712,0.0185509785477872,0.000314031612598575,-0.0321251737692495,-0.0441288242723347
"BLZ","Belize",0.014021978434521,0.0223124119891295,0.0178381080847649,0.020002100599572,0.0160355969468617,0.0120873809290141,0.0112405761380578,0.0108003548969023,0.0125975516282456,0.00177368787114518,0.0208176885406415,-0.0373486357802079,-0.0376272639590803,-0.0386679360397397,-0.0379304663292421,-0.0387524273679984,-0.0497612408270154,-0.0416412967195244,-0.0401131421322192,-0.0432376160831239,-0.0437626640617998,-0.0468210245166636,-0.0456572479873611,-0.0472184281467566,-0.0513024465323315,-0.0403239302817989,-0.0526579262392691,-0.0527949767366059,-0.0527171965812563
"BEN","Benin",0.0166236324148024,0.0164390438937533,0.0135486762599798,0.0107292507363098,0.00865232764284962,0.00659871837992243,0.00213043471851965,-0.00214976921320964,-0.00322927364290237,-0.0104827037388366,-0.0246693949165521,-0.0395443906119728,-0.0366479597166417,-0.041008644931976,-0.053150759744566,-0.0700474391934134,-0.0661641611900181,-0.0690540793197565,-0.0578088506077982,-0.0565073826665993,-0.042559508221553,-0.0365618049822684,-0.0254178591350102,-0.0151189902144733,-0.0219687781064439,-0.016528359831328,-0.0151746457133925,-0.0115881388790265,-0.00913043217880871
