"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"AFG","Afghanistan",0.132618817146867,0.132618817146867,0.137714220582475,0.142809624018083,0.138254403820145,0.133699183622207,0.152263057272461,0.170826930922716,0.181366664555024,0.167750133522949,0.166997745063711,0.147643155777304,0.130028940918013,0.117235678812926,0.121755043509774,0.129718566471048,0.132060759537496,0.175743916908127,0.172557196832517,0.193736442861232,0.189166681982859,0.158018496398146,0.148855423201287,0.158038336173171,0.165790072989478,0.141350204367124,0.170461335100012,0.180175245547931,0.185213898075121
"ALB","Albania",0.379199656769439,0.379199656769439,0.366712896136917,0.354226135504395,0.356635693445172,0.35904525138595,0.37348019960334,0.38791514782073,0.380313493228834,0.398481640973432,0.376343984248822,0.39298439603279,0.421986076010233,0.443420387423066,0.456567710638814,0.455988068956937,0.441998965267554,0.437612805734876,0.450042970236564,0.4878926706504,0.478459172325775,0.482930191881907,0.481162000222023,0.478874932004116,0.467010365231455,0.465443546998418,0.47236382266321,0.483039646404683,0.4914194968616
"DZA","Algeria",0.28813302249011,0.28813302249011,0.27715239573102,0.26617176897193,0.27681114258611,0.287450516200291,0.303095219010119,0.318739921819947,0.332008219406588,0.351375414503493,0.381160136050112,0.358397139006568,0.353870766906768,0.349984930886798,0.32704958947535,0.321442348041042,0.309179077915896,0.309904652983774,0.332838868673352,0.311732587111852,0.309992612847428,0.309648575367646,0.319400061556839,0.32174178778489,0.308000764797327,0.321064206378445,0.323484546901691,0.343917003646986,0.36317431318135
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",0.196201801371854,0.196201801371854,0.19211876196687,0.188035722561884,0.190212769383539,0.192389816205194,0.208022924498047,0.223656032790898,0.250445276213056,0.241814903438856,0.254690470850546,0.28597200274683,0.277551684652904,0.289125100001133,0.293684532684821,0.300824738397079,0.29011587675685,0.29743059713944,0.293502729677354,0.30859724645018,0.304973953700525,0.305726986202621,0.299562359070365,0.329471012339714,0.334140532854182,0.333477333900694,0.352788096128021,0.359633442957442,0.360742582770205
"ATG","Antigua and Barbuda",0.673600354044614,0.673600354044614,0.673960506592246,0.674320659139877,0.672362833897008,0.67040500865414,0.670466458578813,0.670527908503487,0.673304848257466,0.670556619932927,0.641904000632425,0.67327611253959,0.672777871646064,0.688471267575357,0.689094335278202,0.6945630961343,0.694034351308191,0.692728384322929,0.686114125661649,0.598596936868682,0.626372521645611,0.615709897776949,0.57676819585805,0.58953169611806,0.597440876961348,0.600550199382614,0.589782446183278,0.593890551362637,0.606309578738308
"ARG","Argentina",0.53050888535566,0.53050888535566,0.519553198005726,0.508597510655792,0.501740789628829,0.494884068601866,0.429345409155905,0.363806749709945,0.386697040151306,0.379820556437376,0.425255653801663,0.424443524608164,0.423967220769263,0.404239135595624,0.391212138003593,0.411939612642722,0.42566141315915,0.405916214917183,0.401817699907435,0.374986713321364,0.387895684782339,0.460540514806497,0.470018867411663,0.476287839744173,0.448383325236599,0.44111407517795,0.423172215540045,0.413988974356645,0.431870711100025
"ARM","Armenia",0.42224151871983,0.42224151871983,0.405440868585805,0.38864021845178,0.389782213650462,0.390924208849144,0.409309027077863,0.427693845306581,0.468481418533605,0.438474596434485,0.445356588510876,0.440211944643123,0.454537220623297,0.459243448743608,0.466774306578353,0.454990506070472,0.451959335728742,0.471043907816089,0.471330562066842,0.444226834800133,0.442732055685018,0.437777378638496,0.439651363577896,0.466920749492904,0.474359157072412,0.474433770476609,0.471037913512583,0.462651622785312,0.466234122812117
"AUS","Australia",0.822017321024604,0.822017321024604,0.815317979889082,0.808618638753558,0.818906787355022,0.829194935956485,0.820472913600649,0.811750891244813,0.817408815549393,0.830639113109377,0.81553567037483,0.821201481155951,0.826201845013701,0.833631862889508,0.831419178560657,0.827049744213597,0.836413804447295,0.833301100735095,0.824361903209664,0.839087248153131,0.821529402421417,0.826199016395913,0.816696782456705,0.82172114604929,0.820016507720371,0.802279369249828,0.807402607306608,0.813854825244109,0.815004663226379
"AUT","Austria",0.833358929258254,0.833358929258254,0.820990907005416,0.808622884752579,0.804446130757631,0.800269376762683,0.819200484801902,0.838131592841122,0.823323464940507,0.829745393305749,0.829796992623278,0.832627593641485,0.851699379331962,0.838297613440046,0.809878864988212,0.803797528207648,0.794569354044805,0.808218641683048,0.812693615743086,0.809729980439521,0.793353159113278,0.783867462575234,0.79186424062209,0.796906372927638,0.791092644544467,0.781350553707464,0.764715435148902,0.74967356149262,0.751849386216745
"AZE","Azerbaijan",0.265182979874252,0.265182979874252,0.278049513365314,0.290916046856377,0.292130421599565,0.293344796342753,0.296109055055238,0.298873313767722,0.327997600062955,0.313731794035818,0.325615800543437,0.32275238078701,0.344023581938999,0.362198017887785,0.362718290450551,0.357117373810986,0.345338635983098,0.338304481721195,0.370407964151731,0.371767914572678,0.362296967579619,0.372289067172356,0.370553643152262,0.376520949458117,0.382440871191399,0.351071026968376,0.384379949180788,0.366809860524563,0.368808995132794
"BHS","Bahamas",0.718962687436772,0.718962687436772,0.727151676887621,0.73534066633847,0.74370828366281,0.75207590098715,0.754894888461773,0.757713875936395,0.745464851243297,0.745157729203214,0.740764251631405,0.719100701095392,0.722311539172599,0.722317320783368,0.695825174325496,0.684796631568625,0.682999747057854,0.678261225372726,0.667987859965967,0.659506054732478,0.638951331328109,0.62836647139829,0.62267736466751,0.613342163415913,0.599399722737528,0.602586042105574,0.611540978980897,0.611657145954892,0.627556336972154
"BHR","Bahrain",0.546485790229488,0.546485790229488,0.55559873327076,0.564711676312032,0.57042741093168,0.576143145551328,0.60305887566679,0.629974605782253,0.604432368231609,0.609768647743998,0.586791523685439,0.549307080763095,0.565090572991299,0.563444156635732,0.566080778121027,0.547627737511965,0.525852682493826,0.520990021351404,0.515081370717197,0.534027377734708,0.521857728237886,0.516004181587783,0.491581846097452,0.49458545960727,0.519191437364092,0.523366339383205,0.551002115040822,0.564184902707922,0.572721605182203
"BGD","Bangladesh",0.330907661213604,0.330907661213604,0.337384833160665,0.343862005107726,0.324917292734493,0.30597258036126,0.289732518534027,0.273492456706793,0.257253453818287,0.238487277607694,0.239530483388313,0.260034256234013,0.286860359983996,0.294886822900677,0.292402156998608,0.298448290638508,0.302194048572233,0.300125521483451,0.292211279082026,0.326618521882314,0.318216347585015,0.323914865091024,0.324675735869951,0.332567502298583,0.325741997524594,0.332432339525089,0.328225082784844,0.319834413132888,0.328699679176921
"BRB","Barbados",0.75127321151251,0.75127321151251,0.756424657189218,0.761576102865927,0.765679508404627,0.769782913943327,0.765759583930127,0.761736253916928,0.757970872068615,0.753631379512243,0.753835382246815,0.727381353346806,0.745752722854554,0.733636332308482,0.704813683280713,0.710497050602688,0.739106842080477,0.720530005466567,0.722803081627557,0.691917937473288,0.712825521582437,0.673916482247839,0.676726574309532,0.663945794622884,0.64885538317208,0.656613668881144,0.664045747116651,0.666509565400776,0.675785213852842
"BLR","Belarus",0.390389625886446,0.390389625886446,0.380422740747871,0.370455855609296,0.360737970445444,0.351020085281593,0.34892990575548,0.346839726229367,0.384002161660869,0.348160240447663,0.34791865088722,0.335022250268954,0.356122061790668,0.378219025620875,0.383193350064137,0.350156232329855,0.342606148954321,0.375290207326245,0.378382865145248,0.4019117112983,0.387855672273167,0.403434399258469,0.399983542403399,0.424214716195315,0.441867600483946,0.36338031244283,0.353793826927165,0.308459425658875,0.300839254539933
"BEL","Belgium",0.763018377568225,0.763018377568225,0.74718573966595,0.731353101763676,0.743461240270151,0.755569378776625,0.761968257524856,0.768367136273088,0.746979965371672,0.7419539829063,0.740209800832746,0.739818714154121,0.747156479193499,0.742386719154219,0.753468979774158,0.754927474032261,0.762292682832024,0.763204570438722,0.769952765957146,0.752440714246012,0.746364644086801,0.74292556996009,0.726806124866036,0.729384654105495,0.734016286228887,0.73944254858088,0.74373080278478,0.741410879858438,0.717867423671006
"BLZ","Belize",0.535934987355468,0.535934987355468,0.533561454417177,0.531187921478886,0.52697820300561,0.522768484532333,0.522018286415165,0.521268088297998,0.53469339786897,0.504997867694355,0.496110472177195,0.473901839296787,0.472243406201711,0.467472529342585,0.471640684531482,0.473419179658646,0.449235978337402,0.465106110097005,0.466601327692066,0.432219756341088,0.430908770150462,0.419055582284281,0.41051874439037,0.417938099241728,0.424092082873718,0.44551353255503,0.434604331391227,0.45571532563811,0.46181037052025
"BEN","Benin",0.509674988025574,0.509674988025574,0.500864902698051,0.492054817370528,0.485721312453116,0.479387807535704,0.464962765938875,0.450537724342046,0.446501732893803,0.427140524090886,0.413428845332498,0.443007699438824,0.441476042825608,0.435280781124487,0.43160511080223,0.422178784671575,0.428797438965313,0.420418176045912,0.423782082231591,0.410250841952551,0.410806775215397,0.411712565448253,0.412531992071524,0.419858292940876,0.409890214376945,0.419216379598317,0.422350262225556,0.435721784465273,0.444933797202555
"BTN","Bhutan",0.565564585056756,0.565564585056756,0.561697653314851,0.557830721572946,0.549679882986995,0.541529044401042,0.538811056584507,0.536093068767973,0.608458414502986,0.569594627857933,0.60971210180383,0.587526664073189,0.562929484374127,0.5684173362735,0.548289352799463,0.538590653596846,0.539783769489734,0.549083352474023,0.550108586043817,0.59341847830886,0.590237556566797,0.603254502169283,0.651147307387099,0.648197969125388,0.649278665388185,0.650750912801547,0.632732879476768,0.646825190592942,0.645407596534197
"BOL","Bolivia, Plurinational State of",0.436364017165711,0.436364017165711,0.449947216248294,0.463530415330876,0.455211598234394,0.446892781137911,0.429815414761173,0.412738048384435,0.38658004475154,0.382467092755873,0.3458056921386,0.356948856994132,0.352699847283777,0.35097451746482,0.346149913848,0.367883813084777,0.36512463547522,0.349375059742388,0.363684393410544,0.355813145064309,0.34666687444176,0.335382248664188,0.339347966348456,0.340866716648824,0.317898041275664,0.322986047995891,0.323672583948542,0.318910957824284,0.322335213953156
"BIH","Bosnia and Herzegovina",0.404078788963419,0.404078788963419,0.38693723208444,0.36979567520546,0.375775551308328,0.381755427411196,0.396162001164253,0.41056857491731,0.415128543347943,0.448536981870369,0.413063103614881,0.418301500530344,0.41624063263621,0.429528169416415,0.428539765364561,0.429617788392365,0.428923317855939,0.448504990292098,0.460137728136371,0.47554216360507,0.438614340309492,0.440508817484844,0.442427025709163,0.432006714313297,0.429230151457564,0.42140124378069,0.421191142192285,0.419172464934494,0.429269605853244
"BWA","Botswana",0.65379391773219,0.65379391773219,0.65835423745024,0.66291455716829,0.664221346996448,0.665528136824606,0.656598706286782,0.647669275748957,0.69602043814151,0.657364273327682,0.676908431678662,0.655195001544881,0.662854022606726,0.667290846758427,0.655377414474503,0.660444721588158,0.661614215595098,0.665266298932024,0.656700416353301,0.656775139640878,0.642492964132541,0.648830114423083,0.633716232402805,0.634482568084922,0.634615115080407,0.625760581512243,0.637216141851855,0.639725854361006,0.630070062395008
"BRA","Brazil",0.495355866366773,0.495355866366773,0.495777704126877,0.49619954188698,0.503913988684532,0.511628435482084,0.514280569393469,0.516932703304854,0.499219372103075,0.47090221331607,0.460484243693023,0.460749396459214,0.46069778937771,0.478562549795026,0.5058352794361,0.520257395772695,0.521148878579967,0.506260184276458,0.488148750851461,0.474105714761778,0.443372794271052,0.440849029460985,0.427864953045008,0.425394482118396,0.43098024431887,0.441400861588062,0.434592690505228,0.429045169573875,0.425801567657964
"BRN","Brunei Darussalam",0.689764446737307,0.689764446737307,0.665121227986516,0.640478009235723,0.645499700854024,0.650521392472325,0.647416557372408,0.644311722272492,0.645654392458956,0.661207647228193,0.624642932376561,0.614088768877876,0.630384944037619,0.639649358487279,0.710581498823723,0.699276016584119,0.69626797302786,0.667652516332182,0.668467724492029,0.658460726729331,0.646280038722222,0.636915576227554,0.655912150526113,0.662010134824145,0.653939499016527,0.713920979296889,0.713657985244243,0.721872696535012,0.726328495587703
"BGR","Bulgaria",0.45140307691438,0.45140307691438,0.483255633842243,0.515108190770106,0.513547196772157,0.511986202774208,0.523882738628246,0.535779274482284,0.529274406011191,0.535506422625339,0.536821518304255,0.537970786104299,0.533261565744632,0.532697212931856,0.536636570553484,0.532968817335822,0.520085696662188,0.52514375274112,0.510631202120299,0.51308288280991,0.503514597886996,0.517951303891603,0.531151663677078,0.535270556887671,0.540348203810659,0.517478500965706,0.521133499380741,0.517142459733573,0.52882519607995
"BFA","Burkina Faso",0.435199352830531,0.435199352830531,0.440908986219911,0.446618619609292,0.457396216284553,0.468173812959814,0.458980913846805,0.449788014733796,0.450319132884086,0.447507671327876,0.446241032383375,0.450129618509805,0.461467001755019,0.461229420563628,0.466723832599669,0.456707444240013,0.429152611646703,0.421989922917379,0.403483388268617,0.397796803183618,0.411201439032849,0.410526969382845,0.41008234117106,0.406385822460712,0.389828576437663,0.382080895899094,0.380247855856085,0.364438042160277,0.344414841333571
